train_idx,oe_score
72,0.033848945
792,0.033241216
850,0.031829394
461,0.030100215
132,0.029613797
522,0.02842793
986,0.027980018
100,0.026259793
853,0.024059638
367,0.023826137
555,0.02377016
963,0.023189463
256,0.02270971
752,0.022686398
490,0.022367833
324,0.022086516
201,0.021932486
400,0.021558376
901,0.021443995
302,0.021394676
220,0.021372303
633,0.021141373
252,0.021013416
336,0.021010213
464,0.020688534
180,0.020431422
94,0.020395441
903,0.020258682
397,0.01973045
562,0.019636966
876,0.019418439
919,0.019208713
96,0.019103834
938,0.019066582
230,0.019040555
744,0.018838197
685,0.018781671
895,0.018720297
983,0.018698025
166,0.018332746
586,0.018252889
835,0.018197615
865,0.018166091
291,0.018116582
795,0.018043416
882,0.017792623
927,0.017761955
301,0.017642157
148,0.0175899
357,0.017503645
10,0.017495979
911,0.017437443
708,0.017368382
235,0.01731159
134,0.01725094
351,0.017202592
403,0.017182773
702,0.017180689
386,0.017135803
526,0.017109815
17,0.017083706
697,0.017080998
497,0.017075602
310,0.016994333
601,0.016878206
140,0.016866269
564,0.016833866
363,0.016804038
314,0.016637497
92,0.01656875
778,0.016528394
887,0.016522843
217,0.016465876
160,0.01644405
59,0.016434463
648,0.016366666
193,0.016356427
631,0.016328443
322,0.01632742
158,0.016211597
476,0.01614531
383,0.016129091
611,0.016125662
548,0.016099602
861,0.016076703
315,0.016038759
179,0.016026337
518,0.01599751
546,0.015875138
257,0.015846556
953,0.01581896
965,0.015785271
878,0.015716743
393,0.015658615
155,0.015630476
47,0.0156179005
992,0.015594787
563,0.015592252
748,0.01549198
506,0.015479496
830,0.0154436445
433,0.015440876
710,0.015411019
815,0.015391274
745,0.015386387
759,0.015381454
908,0.015315492
926,0.015295865
757,0.015263113
786,0.015186483
354,0.015182003
61,0.015157401
325,0.015098533
37,0.015094644
503,0.015068405
566,0.015067715
879,0.01505322
38,0.015024905
893,0.0150238145
480,0.015023624
872,0.014926951
773,0.014914828
597,0.014894282
847,0.014893272
195,0.014878141
406,0.014839348
538,0.014768468
507,0.014737714
788,0.014731299
42,0.014655722
141,0.014654101
747,0.0146466885
918,0.014642728
321,0.0145991
755,0.01458297
382,0.014569196
150,0.014493368
694,0.014453225
337,0.014335724
472,0.014331401
985,0.01430571
164,0.014278652
63,0.014273996
445,0.0142649785
881,0.014226358
600,0.014213544
935,0.014164713
779,0.014152415
408,0.014142243
869,0.014094251
681,0.014092611
828,0.014025355
470,0.014016078
842,0.014006933
672,0.013963548
667,0.013950103
675,0.01393572
690,0.013878505
943,0.013864836
925,0.01380939
549,0.013721616
810,0.013704107
157,0.013697226
211,0.01368969
784,0.0136674885
240,0.013661478
508,0.013652581
387,0.013640404
649,0.013635509
441,0.013599229
53,0.0135558685
730,0.013529131
948,0.013509245
120,0.013500414
339,0.013453843
191,0.013423664
454,0.013403708
907,0.01339679
241,0.013341372
142,0.013339499
553,0.013337723
782,0.013334862
723,0.013332764
509,0.0133241005
951,0.013314766
523,0.013305796
766,0.013305173
218,0.013297289
521,0.01329335
348,0.013287286
511,0.01328679
345,0.01324917
634,0.013213798
332,0.013197693
293,0.013170535
796,0.013169694
107,0.013165556
884,0.013164234
883,0.013157475
64,0.013133084
729,0.013103423
431,0.013083853
802,0.013071764
889,0.013054307
197,0.013050472
426,0.013037165
969,0.013034497
264,0.01301468
806,0.012999011
740,0.01298682
825,0.012981638
763,0.012980115
760,0.012980023
285,0.01296975
834,0.012965613
877,0.012933148
231,0.012921155
73,0.012903185
484,0.012880405
421,0.012871738
208,0.0128569845
65,0.012846282
224,0.012842432
457,0.012816488
3,0.012793994
770,0.012791846
292,0.012785642
347,0.012774959
599,0.01275083
574,0.012741333
419,0.012711132
816,0.012703584
54,0.012701798
939,0.012697687
569,0.012665013
726,0.012654112
102,0.012641657
979,0.012596954
415,0.012560237
944,0.012542431
592,0.01253371
641,0.012504238
539,0.012480579
149,0.0124748945
616,0.012473797
29,0.012465786
458,0.012463628
136,0.012459627
854,0.012456079
103,0.012447093
409,0.012422152
627,0.01242159
442,0.012377256
112,0.012371991
78,0.012347568
722,0.012336475
404,0.01232018
113,0.012316309
67,0.012307974
512,0.012303052
579,0.01229433
8,0.012284877
568,0.012283293
686,0.012264012
894,0.012234311
706,0.012207729
126,0.012199556
381,0.012189702
967,0.012180261
440,0.012158976
424,0.012151792
620,0.012151649
467,0.012149961
596,0.01213898
912,0.012126836
955,0.012126103
751,0.012105845
975,0.012104287
510,0.012061496
359,0.012058587
234,0.012021802
93,0.012004811
373,0.011999176
862,0.011991444
229,0.01196718
817,0.011961594
635,0.011936491
873,0.011934928
602,0.011927351
214,0.011923413
335,0.011922075
594,0.011888899
987,0.011888651
824,0.011868167
119,0.011864523
33,0.011855372
80,0.011835727
280,0.011826948
937,0.011824423
228,0.011822377
344,0.01181445
655,0.011810409
970,0.011806767
851,0.01179451
438,0.011794137
724,0.011785202
495,0.011778216
189,0.0117755225
418,0.011735293
929,0.011728889
420,0.011711924
904,0.011700412
108,0.011682084
852,0.011680417
642,0.011673895
2,0.011658263
115,0.011651074
250,0.011640821
45,0.011627771
492,0.011617364
725,0.011614393
499,0.011586694
139,0.01158648
793,0.011585986
355,0.0115851965
133,0.011561435
34,0.011561028
202,0.011560542
478,0.011558249
799,0.01154812
319,0.011544758
41,0.011508133
342,0.011502327
36,0.011456953
502,0.011455425
391,0.011454388
922,0.011453381
190,0.011430242
989,0.011427046
736,0.011390056
933,0.011374895
313,0.01135876
177,0.011355142
557,0.011344609
405,0.011312047
28,0.011300425
286,0.01129582
443,0.011289537
839,0.011263823
130,0.01126139
700,0.011256721
289,0.011253316
976,0.01124592
71,0.01124146
516,0.011241178
595,0.011241138
584,0.011229407
196,0.011222663
295,0.011221437
16,0.01121819
728,0.011214149
104,0.011209488
542,0.011207997
504,0.011200636
540,0.011192134
242,0.011191856
66,0.011179666
902,0.011171955
913,0.011166345
284,0.011162574
785,0.011145891
