train_idx,oe_score
278,0.03258198
285,0.02665831
259,0.022951113
591,0.020073444
110,0.019868342
237,0.019736394
183,0.018865835
220,0.017837984
271,0.017753022
289,0.017489292
488,0.014803921
279,0.014587283
150,0.014330018
489,0.014309704
297,0.013951379
17,0.013732301
236,0.013279835
229,0.013241223
472,0.01255874
77,0.012486576
247,0.011826667
196,0.011768797
460,0.01162442
594,0.011410484
584,0.011404315
31,0.011401765
308,0.011340598
39,0.011289497
38,0.011146817
487,0.011036272
125,0.010931158
305,0.01092141
459,0.010243873
503,0.010163794
418,0.010072806
269,0.0100524975
41,0.010009251
384,0.009962538
100,0.009941457
19,0.009927117
510,0.00980552
496,0.009631358
148,0.00957138
423,0.009529811
48,0.009189796
322,0.009104982
109,0.009097912
314,0.009008072
385,0.0089327935
546,0.008825595
293,0.008693085
476,0.008692597
36,0.008659686
44,0.008405545
167,0.008335831
597,0.008289665
40,0.008282001
82,0.008248541
211,0.008198077
24,0.008147138
577,0.008086151
516,0.008021532
335,0.007970846
266,0.007847684
440,0.0077623865
251,0.007658491
181,0.0076339375
379,0.0076186685
540,0.0075832657
407,0.007574263
47,0.0075742076
606,0.0075637447
133,0.0075546848
123,0.0075440085
106,0.0075312275
429,0.007455197
381,0.0074464353
74,0.007423565
537,0.007321477
198,0.0072832704
300,0.007237516
176,0.007226866
137,0.0071544843
216,0.0071291886
408,0.007067302
20,0.0070414403
426,0.0070092604
483,0.0070021255
201,0.0069917375
33,0.006953713
324,0.0069159474
466,0.006888476
92,0.0068653338
168,0.0068250666
319,0.006808272
541,0.006716903
222,0.006583002
25,0.0065620565
486,0.0065412857
571,0.0065368563
37,0.0065223835
256,0.0065102535
299,0.006502595
99,0.0064541236
393,0.0064504966
544,0.0064472575
500,0.006433877
23,0.0063751135
122,0.0063542863
395,0.006336012
241,0.006326234
464,0.0062989653
431,0.0062676254
249,0.006247759
204,0.006162416
456,0.0061347415
402,0.00607402
165,0.0060443664
66,0.0060155373
223,0.006013045
124,0.0060051708
602,0.0059846835
230,0.0059803654
185,0.0059637567
58,0.005948313
475,0.005895229
502,0.0058834814
68,0.005865798
29,0.0058492655
158,0.0058292947
267,0.005804116
450,0.005782674
177,0.005770572
75,0.0057615475
207,0.0057596657
493,0.005759124
287,0.005758629
274,0.005736934
348,0.0057363277
187,0.005681944
595,0.0056671905
354,0.00566505
447,0.005649389
523,0.005616733
295,0.005598969
566,0.005590161
8,0.0055406205
530,0.0055403053
333,0.00553906
147,0.0055360724
353,0.0055315513
368,0.0055186464
357,0.0054867994
190,0.005479725
497,0.0054585394
383,0.00544644
518,0.0054416964
244,0.005435009
501,0.0053622522
4,0.00535014
388,0.005342596
108,0.005332061
528,0.00532879
98,0.005278425
612,0.005252541
467,0.0052512004
313,0.005231585
238,0.0052280473
284,0.0051930496
366,0.005179521
12,0.005170405
2,0.0051548807
228,0.005146996
445,0.005133907
449,0.0050740177
69,0.005072358
508,0.0050662695
532,0.0050627366
485,0.0050550364
310,0.0050407224
356,0.005034081
180,0.0050011054
371,0.0049960967
416,0.004993755
210,0.0049609193
59,0.0049599954
434,0.004910545
427,0.004902584
162,0.004867583
248,0.00486318
27,0.0048587597
398,0.0048545925
132,0.004851414
3,0.004842323
73,0.004824813
588,0.004806337
341,0.004741438
232,0.004736642
199,0.0047216215
292,0.0047162995
519,0.004687654
375,0.004639682
411,0.0046341633
103,0.004626768
465,0.004607015
240,0.004595306
326,0.0045942906
490,0.0045744153
575,0.0045601293
492,0.004547427
270,0.004500459
107,0.00449991
60,0.004499805
428,0.004498113
246,0.0044895504
495,0.00448535
461,0.004478747
551,0.004461658
21,0.004456377
545,0.0044555967
144,0.004450677
432,0.004437545
331,0.004435314
430,0.0044261743
570,0.004411931
192,0.0043985946
377,0.0043715336
83,0.0043541174
400,0.0043457337
71,0.0043446757
343,0.004340882
143,0.0043340023
346,0.004329722
276,0.0043172245
380,0.004315707
359,0.004309488
138,0.0043069273
543,0.004293206
563,0.0042751757
159,0.0042503932
46,0.0042362255
585,0.0042359564
574,0.004232807
97,0.0042322366
609,0.0042157485
590,0.004210464
9,0.0042051896
422,0.0041938117
104,0.0041646515
317,0.004158494
458,0.0041579837
471,0.004154465
328,0.0041449573
78,0.0041367104
291,0.004131916
51,0.0041300426
76,0.0041260608
617,0.0040995367
470,0.0040974803
263,0.0040964335
524,0.004094103
615,0.004084876
53,0.004084473
80,0.004082897
534,0.004062901
362,0.0040584365
203,0.0040561063
567,0.0040471
531,0.004034571
481,0.0040255506
56,0.004021882
81,0.004003804
437,0.004000767
352,0.003999392
592,0.003998645
365,0.003990436
254,0.0039882157
243,0.0039761593
498,0.0039752154
252,0.0039645224
179,0.0039586364
550,0.0039395937
568,0.003921944
586,0.0039136647
231,0.003898217
583,0.003890281
620,0.0038772235
111,0.0038734276
57,0.003869086
520,0.0038609253
376,0.0038480253
88,0.0038472984
277,0.0038290836
117,0.003827377
155,0.003821141
30,0.0038163061
113,0.0038162172
149,0.0038150134
451,0.0038039917
311,0.0037913676
164,0.003790622
491,0.0037900852
290,0.003782935
578,0.0037722841
188,0.0037712995
562,0.0037691265
535,0.0037634925
18,0.003752072
406,0.0037513825
135,0.003748673
28,0.003747731
257,0.0037432178
65,0.0037368631
425,0.003733039
10,0.003719548
136,0.0037176493
195,0.0037154236
446,0.0037110548
255,0.0037089898
301,0.0037047137
561,0.0036991602
457,0.0036952007
557,0.0036944882
118,0.0036938675
174,0.0036904237
145,0.0036885492
369,0.0036813228
608,0.0036722582
52,0.0036646647
582,0.003658274
559,0.0036508623
114,0.0036420666
613,0.003627918
468,0.0036254327
441,0.0036175267
22,0.0036153754
49,0.0036132042
173,0.0036102585
367,0.003609775
151,0.0036093118
105,0.0036054745
239,0.003603772
157,0.0036015885
444,0.0036011322
172,0.0035906627
415,0.0035857088
304,0.003580008
603,0.0035776703
580,0.0035688337
307,0.003561412
414,0.003557753
405,0.0035480962
397,0.0035400544
412,0.00353947
474,0.003530316
169,0.0035190082
536,0.0034981617
569,0.0034907672
320,0.0034846917
6,0.0034841155
507,0.0034840556
134,0.0034820614
226,0.0034756116
214,0.0034739957
275,0.003462378
482,0.003459044
547,0.003458335
364,0.003454019
443,0.0034479068
330,0.0034423992
337,0.0034401997
610,0.003437761
494,0.0034365733
565,0.0034337272
347,0.0034292263
50,0.0034280631
526,0.0034278627
504,0.0034219427
325,0.0034038653
581,0.0033995702
382,0.0033966377
95,0.0033962037
538,0.003387299
156,0.0033759535
264,0.0033729363
401,0.0033721656
294,0.0033721454
587,0.0033638042
61,0.0033539927
102,0.0033527522
394,0.0033518982
421,0.0033506453
268,0.0033474658
93,0.0033429766
349,0.0033310608
126,0.0033200523
424,0.0033129714
208,0.0033075477
403,0.0032985287
512,0.0032984205
131,0.0032906765
221,0.0032883137
605,0.0032873745
600,0.0032838664
599,0.003279163
42,0.0032780888
435,0.0032719611
265,0.0032708922
32,0.0032681243
396,0.0032661487
618,0.003261421
410,0.0032567093
280,0.0032392063
212,0.0032378798
539,0.0032370293
64,0.003236358
35,0.003235062
0,0.0032302714
139,0.0032283321
309,0.0032258197
206,0.0032173109
116,0.0032122748
533,0.0032067285
340,0.0031938537
438,0.0031834533
170,0.0031762559
342,0.0031752072
548,0.0031740523
604,0.003171223
329,0.003165649
250,0.0031613507
448,0.0031489902
189,0.0031443515
312,0.0031424458
90,0.003136882
43,0.0031365142
521,0.0031356025
303,0.0031313126
614,0.0031190112
453,0.0031171483
549,0.0031169355
616,0.0031123075
525,0.0031080998
96,0.0031080048
67,0.0031026835
527,0.0030928398
399,0.003088989
552,0.0030807904
193,0.0030781715
478,0.003073083
7,0.0030720187
506,0.0030685232
389,0.0030644494
202,0.0030587355
593,0.0030576685
515,0.003057145
573,0.0030527678
589,0.0030517583
89,0.003050014
55,0.0030473415
218,0.0030439394
469,0.0030382997
128,0.0030364064
332,0.003032816
215,0.0030235348
253,0.0030204214
85,0.0030157596
121,0.0030099133
217,0.0030084373
286,0.0030058161
442,0.0030055284
191,0.0030024208
372,0.0030013064
318,0.0030009665
63,0.002994061
522,0.0029845315
184,0.0029783614
553,0.0029780774
200,0.0029760587
509,0.0029750837
361,0.0029745286
619,0.002972138
355,0.0029675479
555,0.0029663914
84,0.0029621092
298,0.002957516
420,0.0029567268
572,0.0029550453
462,0.0029498471
127,0.0029452965
182,0.0029413004
1,0.0029402329
480,0.0029394228
344,0.002932868
186,0.002928372
360,0.0029188804
233,0.0029173584
373,0.0029140338
387,0.00291076
70,0.0029082124
234,0.0029048496
45,0.0028991275
154,0.0028922167
513,0.0028861265
175,0.002883258
140,0.0028826597
378,0.002877876
321,0.0028772654
258,0.0028769667
