train_idx,oe_score
540,0.050367557
11,0.03676997
380,0.034248758
344,0.034090094
296,0.033003535
10,0.03299182
59,0.03250534
520,0.02958315
37,0.028859142
127,0.027430737
125,0.027105816
379,0.027042316
437,0.02611642
411,0.025746927
522,0.025390418
69,0.025260817
368,0.02478159
467,0.024304528
204,0.024289329
469,0.0237329
301,0.023560276
565,0.023336096
419,0.022949854
88,0.022871114
148,0.022840513
476,0.022554422
421,0.022237867
549,0.022219336
404,0.022210937
6,0.022164857
519,0.021934208
531,0.021844514
239,0.021777695
225,0.021742288
321,0.021740535
492,0.021735882
327,0.021728225
436,0.021675175
41,0.021594252
95,0.021590903
552,0.021542571
497,0.021466445
478,0.021398105
408,0.021289825
136,0.021188186
122,0.02115532
538,0.021077167
366,0.02105323
42,0.02103825
244,0.020563066
199,0.020552691
298,0.020522889
510,0.020409167
463,0.020387173
71,0.02021796
375,0.020145306
300,0.020135403
285,0.019903041
264,0.01988868
418,0.019856703
89,0.019744016
100,0.019727316
158,0.019697104
191,0.019694049
536,0.0196804
491,0.019670613
263,0.019610774
383,0.019391859
308,0.019302769
468,0.019267347
121,0.019266203
175,0.019195346
472,0.019148326
68,0.019129178
403,0.019025315
206,0.019002074
76,0.018949658
281,0.018944094
581,0.018936796
194,0.018912438
26,0.018813645
138,0.018733092
262,0.01871282
365,0.018697593
473,0.018576667
431,0.018569145
291,0.018532664
66,0.018532034
242,0.018479813
612,0.018479621
14,0.018460538
613,0.018445127
208,0.018426526
359,0.018391736
40,0.018346937
539,0.01826874
560,0.018266872
27,0.018265424
409,0.018260293
170,0.018236654
588,0.018232685
546,0.018230664
16,0.018194389
312,0.01818912
556,0.018173143
490,0.018073559
619,0.018071314
173,0.018036777
283,0.018027727
29,0.018024195
128,0.018017575
5,0.018003142
602,0.01799694
182,0.017981691
118,0.01795357
145,0.017939309
382,0.01792683
429,0.017895008
9,0.017845454
293,0.017812187
154,0.017725008
458,0.017711844
534,0.017660107
385,0.01764025
139,0.017570697
360,0.017535707
328,0.01751675
320,0.017496744
82,0.017488385
196,0.017442502
547,0.017435316
331,0.017434085
542,0.01740576
54,0.017389953
430,0.017369978
529,0.017340755
141,0.017329194
246,0.017265406
209,0.017241027
174,0.01720926
323,0.01718858
38,0.0171721
451,0.01715063
564,0.017138897
79,0.017113056
589,0.017032843
280,0.017024009
425,0.016984543
93,0.016974073
203,0.016970294
569,0.016961288
73,0.016944407
282,0.01690806
1,0.016883504
12,0.016882278
159,0.016829636
481,0.01682688
171,0.016751835
198,0.016654039
511,0.016645407
205,0.016637988
535,0.016577212
347,0.016538171
610,0.016537938
438,0.016528852
317,0.01651896
609,0.016509019
187,0.016503027
114,0.016494723
133,0.01644131
322,0.016410928
276,0.016374847
30,0.016347792
220,0.016341189
216,0.01633135
572,0.016302431
584,0.01628207
181,0.016265512
424,0.016257297
7,0.01623222
232,0.01622549
115,0.016222017
471,0.016206382
120,0.016162409
440,0.016131315
241,0.01612854
49,0.016118692
223,0.016091986
426,0.016091626
515,0.016090369
235,0.016066758
56,0.016045013
402,0.016016627
407,0.015988309
124,0.015912045
160,0.015899835
527,0.015899112
197,0.015879275
585,0.01586269
345,0.015857218
